Video: 20201124_General_037_DOS_A_M40_MS_001_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_002_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_003_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_004_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_005_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_006_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_007_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_008_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_009_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_010_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_011_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_012_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_013_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_014_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_015_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_016_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_017_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_018_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_019_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_020_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_021_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_022_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_023_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_024_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_025_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_026_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_027_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_028_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_029_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_030_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_031_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_032_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_033_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_034_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_035_crop.mp4, Predicted: 0, Actual: 0, Correct: True
Video: 20201124_General_037_DOS_A_M40_MS_036_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_037_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_038_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_039_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201124_General_037_DOS_A_M40_MS_040_crop.mp4, Predicted: 1, Actual: 0, Correct: False
Video: 20201123_General_030_DOS_A_M40_MM_070_crop.mp4, Predicted: 1, Actual: 1, Correct: True
