Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
328.06,56.6033,0.918476,338.487,44.8863,0.914316,317.645,44.8514,0.901781,350.243,38.4005,0.852719,300.699,37.1122,0.88183,371.168,100.995,0.818713,281.131,100.994,0.781696,362.009,170.13,0.823706,295.453,171.431,0.822214,350.257,227.602,0.884348,316.314,227.611,0.83146,348.999,240.644,0.581338,296.818,235.427,0.637455,351.631,335.94,0.658548,277.262,337.243,0.715482,359.365,422.048,0.701301,265.441,423.337,0.771605
328.052,56.5878,0.912305,338.476,44.875,0.90487,317.639,44.8348,0.89609,350.249,38.3903,0.878714,300.708,38.3361,0.875956,371.156,100.978,0.825517,282.394,100.986,0.783378,362.011,170.127,0.82251,295.451,171.412,0.820662,350.259,227.63,0.873862,316.313,227.593,0.834153,348.991,239.355,0.575262,296.809,235.408,0.63531,351.632,333.313,0.648962,278.526,335.92,0.681073,359.36,422.058,0.701704,265.443,423.35,0.776936
328.069,56.6034,0.921871,338.507,44.8954,0.923684,317.649,44.8385,0.907968,350.25,39.6551,0.837121,300.703,38.3254,0.877589,371.184,100.989,0.823403,281.131,100.987,0.783654,362.014,168.882,0.816234,295.45,171.417,0.81513,350.257,227.634,0.88021,316.323,227.598,0.839687,348.98,239.34,0.579251,296.824,235.418,0.639315,352.878,334.619,0.641945,277.248,337.219,0.705996,359.362,422.055,0.690048,265.4,423.396,0.76308
328.063,56.6009,0.918709,338.497,44.895,0.923832,317.649,44.8416,0.907499,350.238,39.6773,0.843866,300.708,38.3343,0.882946,371.154,100.974,0.824385,281.133,100.982,0.782915,360.804,168.882,0.82066,295.44,170.19,0.817971,350.271,227.592,0.883774,316.321,227.59,0.833334,348.978,239.338,0.574768,296.804,234.147,0.633972,352.897,334.622,0.638087,278.502,337.221,0.696387,358.121,420.772,0.685023,265.433,423.354,0.759436
328.06,56.5876,0.916579,338.484,44.8824,0.915285,317.644,44.8346,0.90223,350.232,39.6437,0.850238,300.704,38.3278,0.885342,371.161,99.7495,0.830828,281.121,100.989,0.781756,362.017,168.869,0.81427,295.451,171.419,0.81991,350.256,227.588,0.886275,316.313,226.347,0.838595,348.969,238.048,0.574793,296.811,234.144,0.636236,352.883,333.323,0.643106,278.529,335.922,0.685739,358.137,422.039,0.695469,265.434,422.075,0.773427
328.056,56.578,0.909005,338.479,44.8673,0.901716,317.642,43.5924,0.895267,350.236,38.4,0.862272,300.695,37.1158,0.884899,371.162,100.983,0.823532,281.111,100.981,0.783666,362.011,170.128,0.820469,295.44,170.197,0.819474,350.26,227.616,0.879368,316.311,227.583,0.833797,348.989,238.056,0.577802,296.821,234.148,0.635843,351.625,334.612,0.649138,277.225,337.198,0.694687,359.361,422.039,0.692268,265.414,423.362,0.768881
328.056,56.5834,0.909993,338.483,44.8733,0.905779,317.639,43.5916,0.89062,350.246,38.3995,0.861414,300.679,37.1028,0.893958,371.156,100.981,0.822175,281.127,99.7639,0.785614,360.801,168.882,0.815997,294.185,170.148,0.799664,350.263,227.616,0.878163,315.059,226.342,0.832263,348.968,240.63,0.576607,296.799,235.435,0.628234,352.892,334.615,0.645883,278.484,337.234,0.706216,358.141,422.035,0.693763,265.442,423.358,0.758542
328.041,56.5933,0.908738,338.473,44.8813,0.905442,317.631,44.8225,0.884956,350.25,38.3722,0.870442,300.687,37.103,0.890506,371.15,100.977,0.826932,281.107,100.974,0.787528,362.012,168.859,0.817249,294.181,170.181,0.808805,350.254,227.615,0.881838,316.295,227.586,0.834451,348.997,239.357,0.575325,296.816,235.426,0.636571,351.631,335.92,0.651765,278.498,335.911,0.698001,359.36,422.037,0.697191,265.443,422.072,0.771889
328.059,56.6027,0.912238,338.491,44.9013,0.915592,317.65,44.8475,0.898615,350.233,39.6706,0.854616,300.681,37.102,0.896227,371.155,99.751,0.827264,281.11,100.978,0.78339,360.799,170.148,0.833203,294.178,170.179,0.807028,350.251,227.623,0.875232,315.043,227.592,0.827002,348.985,239.349,0.574978,296.804,235.417,0.633676,352.879,334.607,0.647905,277.259,335.917,0.68762,358.132,420.78,0.684974,265.43,422.098,0.7721
328.035,56.5977,0.909133,338.463,44.888,0.899677,317.625,44.8381,0.883594,349.031,39.6499,0.855759,299.433,37.0958,0.900932,371.167,100.974,0.823711,281.137,101.001,0.780015,360.789,170.125,0.819759,295.414,171.411,0.81054,350.253,227.613,0.878483,315.021,227.584,0.824597,348.979,239.343,0.575316,296.811,235.409,0.635395,351.623,333.33,0.653967,278.503,335.913,0.684821,358.14,422.071,0.705011,265.435,423.352,0.777603
328.025,56.6051,0.908036,338.462,44.8986,0.905037,317.613,44.8338,0.876465,349.029,39.6652,0.831821,299.431,37.1004,0.897487,371.176,100.983,0.819759,281.126,101.009,0.779575,360.797,170.141,0.827253,294.169,170.193,0.811879,350.245,228.896,0.874627,315.021,227.595,0.825576,348.962,238.047,0.570857,296.8,234.126,0.634334,351.612,332.016,0.662948,278.527,332.038,0.669367,359.368,422.053,0.70402,265.436,422.078,0.772238
328.025,56.6115,0.913435,337.262,44.9006,0.901919,317.608,44.8458,0.881587,349.015,40.9419,0.834368,299.419,37.1096,0.895984,371.153,100.976,0.824063,281.121,100.998,0.781325,362.012,168.872,0.807763,294.147,170.145,0.80131,350.252,227.615,0.875319,313.748,226.343,0.826037,348.97,239.344,0.577648,296.802,235.413,0.636266,351.626,332.036,0.65255,277.225,337.198,0.702022,359.374,422.077,0.708008,265.437,422.1,0.769521
328.025,56.6017,0.910522,337.258,44.8829,0.891987,317.601,44.8283,0.871763,349.017,39.6419,0.830791,299.402,37.1019,0.905675,371.16,100.998,0.814478,281.108,100.999,0.777406,360.796,170.128,0.819198,294.161,171.411,0.808047,350.258,227.63,0.871482,315.021,227.612,0.817772,348.972,239.328,0.570425,296.797,235.413,0.629242,351.62,333.316,0.654835,278.497,334.608,0.684411,359.361,422.066,0.698939,265.458,422.052,0.781304
326.817,56.5972,0.90765,337.248,44.8796,0.896386,317.599,44.8222,0.870564,349.011,39.6526,0.835776,299.41,37.1079,0.903948,371.15,100.974,0.815649,281.107,101.006,0.783136,360.804,170.146,0.822178,294.164,170.195,0.806751,350.257,228.897,0.874449,315.028,227.625,0.811217,348.97,239.348,0.575168,296.8,235.426,0.636927,351.634,333.315,0.651274,277.244,335.947,0.704224,359.366,422.028,0.693296,265.393,423.349,0.755857
326.817,56.5993,0.911939,337.237,44.8808,0.894743,317.593,44.8376,0.880867,349.003,38.3905,0.836875,299.41,38.3311,0.895361,371.153,101.002,0.815378,281.095,101.012,0.778513,360.799,170.132,0.81973,294.16,170.179,0.806338,350.26,228.889,0.868475,315.044,227.6,0.818898,348.961,238.047,0.570513,296.803,234.145,0.632447,351.606,333.328,0.656429,278.48,335.926,0.692088,359.362,422.067,0.705231,265.418,423.346,0.773063
