Nose_x,Nose_y,Nose_c,LEye_x,LEye_y,LEye_c,REye_x,REye_y,REye_c,LEar_x,LEar_y,LEar_c,REar_x,REar_y,REar_c,LShoulder_x,LShoulder_y,LShoulder_c,RShoulder_x,RShoulder_y,RShoulder_c,LElbow_x,LElbow_y,LElbow_c,RElbow_x,RElbow_y,RElbow_c,LWrist_x,LWrist_y,LWrist_c,RWrist_x,RWrist_y,RWrist_c,LHip_x,LHip_y,LHip_c,RHip_x,RHip_y,RHip_c,LKnee_x,LKnee_y,LKnee_c,RKnee_x,RKnee_y,RKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,RAnkle_x,RAnkle_y,RAnkle_c
312.052,45.2804,0.921541,326.085,35.9047,0.855754,309.489,35.8938,0.875709,335.56,47.6225,0.916748,293.197,45.3696,0.884431,352.174,104.438,0.890409,274.263,104.35,0.940197,352.087,161.005,0.869725,276.543,161.035,0.866261,342.58,210.543,0.844187,304.926,210.54,0.854242,335.605,236.403,0.790557,288.373,236.446,0.795831,342.608,330.8,0.86182,274.321,330.836,0.912329,345.022,418.088,0.80063,274.163,411.064,0.879017
312.058,45.2837,0.921183,326.083,35.8972,0.858049,309.488,35.8964,0.874523,335.556,47.6006,0.915946,293.197,45.3594,0.888777,354.404,104.433,0.891261,274.256,104.346,0.941173,352.083,161.004,0.869239,276.554,161.017,0.866164,342.611,210.523,0.841015,304.917,210.505,0.852076,335.594,236.417,0.789887,288.373,236.456,0.794481,342.601,330.836,0.852985,274.322,330.831,0.912072,345.006,418.136,0.796049,274.127,411.129,0.869227
312.047,45.2903,0.925456,326.082,35.9102,0.858808,309.483,35.8936,0.87538,335.561,47.6107,0.915691,293.19,45.351,0.882579,352.166,104.432,0.891709,274.249,104.338,0.941403,352.082,161.005,0.86767,276.549,161.009,0.868434,342.593,210.506,0.832406,307.187,210.509,0.8595,335.576,236.423,0.793325,288.353,236.465,0.788207,342.6,330.825,0.854286,274.318,330.846,0.909577,345.035,418.112,0.797097,274.126,411.122,0.874884
312.054,45.2636,0.920002,326.088,35.8724,0.861336,309.479,35.8589,0.874458,335.57,47.5975,0.912222,293.179,45.3401,0.888145,352.156,104.419,0.896631,274.269,104.326,0.939717,352.086,160.997,0.867271,276.559,161.02,0.868501,342.582,210.505,0.827174,307.187,210.501,0.862202,335.587,236.409,0.791579,288.358,236.459,0.793947,342.617,330.787,0.859689,276.53,330.837,0.903351,345.023,415.756,0.794276,274.139,411.108,0.876876
312.056,45.2765,0.924675,326.092,35.8973,0.862633,309.482,35.8804,0.875406,335.557,47.6234,0.908261,293.18,45.356,0.889109,352.159,104.427,0.895318,274.266,104.347,0.940111,352.099,160.981,0.869301,276.573,161.039,0.870368,340.305,210.503,0.823982,307.217,210.498,0.86173,335.601,236.386,0.788736,288.356,236.45,0.793484,342.611,330.784,0.860608,274.33,330.83,0.907595,345.023,415.808,0.797182,274.127,411.129,0.874965
312.055,45.2671,0.92099,326.092,35.8797,0.86264,309.48,35.8596,0.876103,335.567,47.6095,0.914376,293.174,45.3373,0.895601,352.17,104.416,0.894288,274.275,104.33,0.9418,352.104,160.983,0.86854,276.566,161.032,0.872907,340.267,210.498,0.817838,307.244,210.492,0.868781,335.617,236.408,0.787864,288.342,236.449,0.79039,342.61,330.795,0.853832,274.333,330.821,0.909118,345.049,415.815,0.787071,274.128,411.105,0.876346
312.064,45.2674,0.920034,326.101,35.8953,0.86178,309.498,35.8637,0.879963,335.556,47.6321,0.906183,293.185,45.3468,0.895375,352.174,104.418,0.895727,274.263,104.345,0.943273,352.108,160.97,0.870302,276.586,161.05,0.866428,340.277,210.511,0.827033,307.249,210.483,0.867981,337.9,236.408,0.785805,288.358,236.447,0.791814,342.611,330.793,0.857212,274.351,330.84,0.904127,345.007,415.788,0.788851,274.14,411.107,0.876555
312.062,45.2687,0.922689,326.107,35.8963,0.864722,309.494,35.8543,0.881364,335.56,47.6393,0.901068,293.177,45.3263,0.894596,354.403,104.432,0.891629,274.281,104.347,0.939412,352.119,160.972,0.868378,276.594,161.048,0.866257,340.296,210.512,0.825582,307.27,210.486,0.864279,337.893,234.18,0.789628,288.387,236.396,0.800321,342.625,328.574,0.858018,276.527,330.773,0.902625,345.037,415.773,0.798591,274.128,411.124,0.880104
312.059,45.264,0.923894,326.101,35.8903,0.866184,309.498,35.853,0.883924,335.559,47.6306,0.906712,293.191,45.3271,0.88485,354.427,104.423,0.891372,274.272,104.316,0.94175,352.118,160.968,0.868069,276.585,161.032,0.867223,340.262,210.508,0.830357,309.5,210.498,0.867381,337.921,234.183,0.788655,288.4,234.178,0.7982,342.626,330.766,0.859776,274.348,330.76,0.900619,345.013,415.748,0.793809,274.117,411.103,0.879957
312.061,45.2562,0.921042,326.101,35.8754,0.86486,309.491,35.8509,0.882124,335.567,47.6232,0.906637,293.185,45.3386,0.889563,354.434,104.417,0.891356,274.271,104.34,0.938127,352.125,160.971,0.872361,276.603,161.033,0.862473,340.281,210.51,0.832884,309.518,210.493,0.869682,337.943,234.148,0.781901,290.587,234.146,0.802696,342.633,330.754,0.858911,274.327,328.561,0.905745,345.02,415.778,0.797757,274.132,411.031,0.881074
