Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,RAnkle_x,RAnkle_y,RAnkle_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,REye_x,REye_y,REye_c,LEye_x,LEye_y,LEye_c,REar_x,REar_y,REar_c,LEar_x,LEar_y,LEar_c,LBigToe_x,LBigToe_y,LBigToe_c,LSmallToe_x,LSmallToe_y,LSmallToe_c,LHeel_x,LHeel_y,LHeel_c,RBigToe_x,RBigToe_y,RBigToe_c,RSmallToe_x,RSmallToe_y,RSmallToe_c,RHeel_x,RHeel_y,RHeel_c
292.209,292.063,0.331823,209.176,294.715,0.73995,191.561,307.14,0.764512,191.63,432.968,0.789549,229.303,518.355,0.87062,226.725,292.064,0.568468,224.246,407.729,0.463738,224.226,500.8,0.281981,128.679,453.108,0.73646,106.014,453.115,0.68419,141.267,611.45,0.799761,136.287,792.317,0.752097,151.331,453.123,0.692986,181.528,583.714,0.753758,191.486,714.563,0.818799,292.182,274.552,0.353515,0.0,0.0,0.0,269.56,254.512,0.638628,0.0,0.0,0.0,259.449,724.551,0.763114,251.946,714.611,0.773515,176.485,734.706,0.725036,211.632,807.51,0.743783,191.57,812.622,0.785735,128.611,807.535,0.726609
292.116,289.662,0.413599,209.159,294.73,0.738728,191.563,307.153,0.766556,191.619,432.994,0.78734,229.305,518.356,0.870311,226.686,292.077,0.568096,224.223,407.773,0.460851,224.259,503.276,0.276385,128.674,453.131,0.733974,106.008,455.506,0.682374,141.266,611.446,0.799361,136.292,792.318,0.750553,151.328,455.506,0.695516,181.531,583.712,0.754576,191.488,714.559,0.819273,292.067,274.495,0.428227,309.692,272.107,0.0910029,269.475,254.394,0.6689,0.0,0.0,0.0,259.447,724.554,0.763653,251.946,714.612,0.774134,176.489,734.702,0.724139,211.619,807.508,0.742278,191.561,812.619,0.785967,128.616,807.534,0.72535
287.123,292.205,0.482012,209.077,297.15,0.727872,191.488,309.61,0.774699,191.612,432.935,0.786085,229.319,518.436,0.866576,221.755,289.672,0.55953,224.181,407.789,0.417537,224.276,505.818,0.252997,126.237,453.114,0.722346,103.6,453.106,0.68358,141.319,613.829,0.798049,138.749,792.322,0.749574,148.823,455.51,0.686342,181.464,583.792,0.753142,191.541,714.496,0.838533,289.574,282.071,0.473182,0.0,0.0,0.0,269.508,256.897,0.668305,0.0,0.0,0.0,256.987,724.546,0.780313,251.926,714.603,0.801832,179.012,734.624,0.764254,209.2,807.512,0.754292,191.514,812.615,0.785304,128.623,807.547,0.733422
287.056,294.596,0.44702,209.102,297.132,0.732481,191.49,309.614,0.773073,191.602,432.918,0.787644,229.318,518.432,0.866633,224.229,289.653,0.56209,224.198,407.75,0.419663,224.275,505.788,0.256395,126.243,453.104,0.723416,103.604,453.098,0.684073,141.319,611.51,0.798573,138.752,792.323,0.749815,148.829,455.499,0.685584,181.464,583.799,0.753383,191.542,714.496,0.838616,289.545,284.575,0.438457,0.0,0.0,0.0,269.547,259.433,0.651972,0.0,0.0,0.0,256.987,724.547,0.780238,251.925,714.603,0.80222,179.011,734.623,0.764174,209.198,807.511,0.754368,191.514,812.614,0.78588,128.625,807.547,0.734542
287.066,294.613,0.445483,209.105,297.129,0.733247,191.495,309.614,0.773589,191.603,432.921,0.78798,229.318,518.432,0.866385,224.235,289.651,0.562324,224.203,407.739,0.420268,224.246,503.328,0.256875,126.244,453.107,0.722686,103.606,453.101,0.683486,141.32,611.51,0.798397,138.753,792.324,0.74971,148.83,455.501,0.685143,181.463,583.798,0.753113,191.542,714.496,0.838489,289.548,284.582,0.433114,0.0,0.0,0.0,269.558,259.429,0.651147,0.0,0.0,0.0,256.988,724.547,0.780179,251.926,714.603,0.802276,179.011,734.623,0.764064,209.202,807.511,0.75449,191.517,812.615,0.786168,128.625,807.55,0.734747
287.103,292.201,0.423494,209.055,297.166,0.71938,189.138,309.734,0.789084,191.641,437.923,0.7793,229.322,518.458,0.868449,221.758,289.584,0.549065,221.732,402.76,0.411219,224.191,498.29,0.24687,126.226,455.558,0.711388,106.029,455.587,0.677041,143.781,611.458,0.802289,138.766,792.309,0.744629,148.762,455.556,0.670465,179.009,588.765,0.772862,191.595,712.063,0.84057,289.551,282.07,0.423908,0.0,0.0,0.0,269.452,256.899,0.630692,0.0,0.0,0.0,256.953,724.531,0.786545,251.905,714.581,0.810552,179.036,732.138,0.781641,209.201,807.531,0.754797,191.528,812.623,0.774942,128.631,807.515,0.717898
289.682,297.133,0.324105,209.077,294.603,0.714082,191.576,312.174,0.756797,191.713,442.93,0.771446,229.328,520.903,0.877275,219.237,277.087,0.511678,221.766,395.253,0.365719,221.766,480.688,0.186703,126.175,452.96,0.691437,108.501,453.058,0.686714,143.835,613.844,0.779211,138.774,792.393,0.755251,146.242,450.516,0.615978,178.981,578.714,0.749359,191.557,711.949,0.83871,292.037,287.069,0.347936,0.0,0.0,0.0,269.563,264.444,0.630845,0.0,0.0,0.0,259.477,724.505,0.778734,251.996,714.549,0.798008,178.971,732.017,0.787004,209.192,809.952,0.763906,191.515,814.983,0.783854,128.631,809.939,0.718129
289.564,297.115,0.327505,206.666,294.716,0.699195,191.558,312.206,0.780263,194.064,445.498,0.790694,229.351,523.422,0.867136,216.71,284.568,0.517384,221.71,395.222,0.352132,224.206,485.721,0.16417,128.601,455.587,0.685567,106.134,458.086,0.666593,146.237,613.854,0.787522,138.762,792.382,0.743487,148.734,455.52,0.621604,176.525,581.232,0.723518,191.55,711.853,0.829,289.616,284.616,0.363739,0.0,0.0,0.0,269.493,259.437,0.644159,0.0,0.0,0.0,261.941,722.02,0.788154,254.403,714.494,0.798135,178.992,729.592,0.785321,211.608,810.037,0.760915,191.571,815.046,0.76136,128.606,807.553,0.717154
292.168,299.686,0.322473,209.042,292.222,0.717538,191.597,314.756,0.727923,194.058,447.98,0.813736,231.692,525.903,0.873821,216.745,272.076,0.512334,221.712,392.743,0.283569,226.686,473.148,0.143173,126.206,455.517,0.686959,106.086,458.053,0.669066,146.322,611.388,0.797019,138.823,792.368,0.733117,146.327,453.045,0.620845,176.529,578.706,0.737014,191.536,709.419,0.815807,292.174,287.127,0.340112,0.0,0.0,0.0,271.921,266.994,0.637991,0.0,0.0,0.0,261.952,719.569,0.786188,254.451,712.066,0.778021,176.532,729.521,0.77429,211.64,810.047,0.76062,191.603,815.064,0.752682,128.623,807.534,0.70834
292.192,299.697,0.278923,209.047,292.221,0.722556,191.581,314.766,0.728446,194.046,447.95,0.809016,231.678,525.881,0.865375,216.755,272.067,0.520411,221.736,392.723,0.316778,226.673,485.709,0.182072,126.205,455.505,0.688406,106.08,458.035,0.66868,146.337,611.311,0.792225,141.235,792.368,0.729375,146.33,453.04,0.623372,176.551,578.695,0.738522,191.534,709.409,0.813903,292.218,289.533,0.305006,0.0,0.0,0.0,271.963,269.411,0.65803,0.0,0.0,0.0,261.958,719.57,0.785445,254.456,712.067,0.776728,176.529,729.509,0.772869,211.653,810.052,0.758778,191.614,815.069,0.747648,128.624,807.54,0.70245
